agent_id,sex,age,education_level,social_class,is_alive,name,role,family_id,home_zone,work_zone,wealth,income_per_day,satisfaction,goals,integrity,greed,ambition,family_loyalty,competence,empathy,initial_trust_score
1,M,36,4,upper,TRUE,Alfredo Ocampo,mayor,,resA,munhall,889459,2608.78,41.04,Win re-election | Build road to farm area | Increase family wealth | Fund school renovation,0.478,0.474,0.733,0.605,0.631,0.275,-0.034
2,M,52,5,upper,TRUE,Juan Navarro,vice_mayor,Aquino,resA,munhall,629373.01,2248.69,43.58,Audit infrastructure contracts | Run for mayor | Build political base,0.637,0.697,0.506,0.484,0.68,0.282,0.845
3,M,33,3,upper,TRUE,Tony Manalo,councilor,,resA,munhall,317152.9,1412.47,41.6,Pass budget bill | Expose corruption | Secure contractor support,0.107,0.409,0.463,0.631,0.6,0.317,-0.032
4,M,52,4,upper,TRUE,Bernardo Torres,councilor,,resA,munhall,350842.45,1368.14,45.99,Pass budget bill | Expose corruption | Secure contractor support,0.463,0.71,0.505,0.608,0.53,0.614,0.119
5,M,69,4,upper,TRUE,Eduardo Hernandez,councilor,Lim,resA,munhall,466369.13,1419.39,65.13,Pass budget bill | Expose corruption | Secure contractor support,0.385,0.235,0.618,0.393,0.628,0.526,0.803
6,M,55,5,upper,TRUE,Ramon Manalo,councilor,Aquino,resA,munhall,373850.81,1496.87,41.65,Pass budget bill | Expose corruption | Secure contractor support,0.659,0.691,0.359,0.44,0.321,0.586,0.777
7,M,55,3,upper,TRUE,Zaldy Reyes,councilor,,resA,munhall,369023.86,1364.59,49.34,Pass budget bill | Expose corruption | Secure contractor support,0.132,0.838,0.207,0.427,0.515,0.483,0.092
8,F,62,5,upper,TRUE,Maria Espiritu,councilor,,resA,munhall,374331.7,1663.41,61.31,Pass budget bill | Expose corruption | Secure contractor support,0.794,0.412,0.585,0.676,0.644,0.798,-0.054
9,F,36,3,upper,TRUE,Maribel Ferrer,councilor,Valdez,resA,munhall,423993.94,1483.38,57.01,Pass budget bill | Expose corruption | Secure contractor support,0.487,0.527,0.878,0.367,0.563,0.388,0.767
10,M,43,3,upper,TRUE,Ramon Sy,councilor,Garcia,resA,munhall,327886.94,1606.19,53.07,Pass budget bill | Expose corruption | Secure contractor support,0.593,0.658,0.296,0.26,0.727,0.391,0.975
11,M,62,2,mid,TRUE,Crisanto Macaraeg,barangay_captain,Reyes,resB,bgyhall,209748.12,770.4,48.33,Increase household income | Protect family welfare | Improve social standing,0.689,0.525,0.485,0.64,0.486,0.45,0.917
12,M,53,4,mid,TRUE,Ricardo Bautista,barangay_captain,Magno,resB,bgyhall,208755.02,774.8,62.87,Increase household income | Protect family welfare | Improve social standing,0.241,0.545,0.534,0.559,0.631,0.591,0.912
13,M,33,2,mid,TRUE,Fernando Ocampo,barangay_captain,,resB,bgyhall,125507.88,869.53,59.26,Increase household income | Protect family welfare | Improve social standing,0.501,0.597,0.351,0.7,0.48,0.612,-0.085
14,F,37,2,mid,TRUE,Natividad Mendoza,barangay_captain,Magno,resB,bgyhall,186429.08,950.67,65.57,Increase household income | Protect family welfare | Improve social standing,0.396,0.509,0.458,0.68,0.184,0.8,0.946
15,M,61,2,upper,TRUE,Vicente Ramos,contractor,Ocampo,resA,contoffice,639816.81,4063.27,42.8,Win public works contract | Bill incomplete projects | Bribe officials,0.694,0.661,0.41,0.435,0.686,0.57,0.796
16,M,60,4,upper,TRUE,Pablo Navarro,contractor,Santos,resA,contoffice,561989.71,2865.19,65.07,Win public works contract | Bill incomplete projects | Bribe officials,0.682,0.63,0.612,0.48,0.691,0.608,0.81
17,M,36,2,upper,TRUE,Yohan Mercado,contractor,Lim,resA,contoffice,446727.95,2990.15,52.22,Win public works contract | Bill incomplete projects | Bribe officials,0.399,0.929,0.799,0.573,1,0.495,0.767
18,M,35,3,upper,TRUE,Ernesto Mendoza,contractor,Villanueva,resA,contoffice,549798.78,2899.47,44.04,Win public works contract | Bill incomplete projects | Bribe officials,0.441,0.502,0.868,0.482,0.776,0.514,0.777
19,M,58,3,upper,TRUE,Fernando Valdez,contractor,,resA,contoffice,587805.72,3287.59,49.68,Win public works contract | Bill incomplete projects | Bribe officials,0.48,0.601,0.572,0.412,0.175,0.523,-0.099
20,F,37,3,lower,TRUE,Ana Co,vendor,,resC,market,15442.17,317.84,60.39,Increase household income | Protect family welfare | Improve social standing,0.4,0.449,0.559,0.504,0.741,0.332,-0.056
21,M,29,3,lower,TRUE,Jose Castro,vendor,,resC,market,26633.92,326.09,72.55,Increase household income | Protect family welfare | Improve social standing,0.578,0.61,0.708,0.657,0.614,0.448,0.159
