agent_id,sex,age,education_level,social_class,is_alive,name,role,family_id,home_zone,work_zone,wealth,income_per_day,satisfaction,goals,integrity,greed,ambition,family_loyalty,competence,empathy,initial_trust_score
1,M,30,5,middle,TRUE,Albert Santiago,teacher,Santiago,resB,school,351660.23,1109.89,41.62,Support student learning | Monitor construction complaints in resB | Share verified updates with neighbors for Cruz-Montemayor household,0.688,0.103,0.644,0.778,0.828,0.693,0.688
2,F,68,2,upper,TRUE,Teresita Cruz-Quinto,elder_retiree,Cruz-Quinto,resA,residential_area,541617.58,1270.23,44.65,Protect household routines | Monitor road repairs in resA | Share verified updates through coworkers for Cruz-Quinto household,0.883,0.411,0.506,0.765,0.663,0.411,0.538
3,F,16,2,middle,TRUE,Alyssa Soriano,student,Soriano,resB,school,276396.42,0.00,55.26,Finish school requirements | Monitor school attendance in resB | Share verified updates through family chats for Soriano household,0.604,0.085,0.383,0.707,0.309,0.273,0.356
4,F,47,2,lower,TRUE,Wilhelmina Cruz-Ferrer,unemployed_jobseeker,Cruz-Ferrer,resC,residential_area,131859.99,88.22,37.87,Find stable short-term work | Monitor permit delays in resC | Share verified updates through family chats for Cruz-Ferrer household,0.416,0.383,0.420,0.466,0.599,0.563,0.239
5,F,49,4,middle,TRUE,Annaliza Salazar-Paredes,market_vendor,Salazar-Paredes,resB,market,230323.81,802.61,68.76,Protect stall income and customers | Monitor medicine availability in resB | Share verified updates at the market for Salazar-Paredes household,0.531,0.253,0.526,0.486,0.780,0.373,0.404
6,F,44,2,lower,TRUE,Josefa Corpuz,unemployed_jobseeker,Corpuz,resC,residential_area,84906.62,15.85,35.01,Find stable short-term work | Monitor road repairs in resC | Share verified updates through family chats for Corpuz household,0.511,0.485,0.321,0.522,0.579,0.522,0.410
7,M,26,2,lower,TRUE,Mark Cruz-Ocampo,construction_worker,Cruz-Ocampo,resC,construction_site,34572.00,682.96,42.97,Keep steady construction work | Monitor job leads in resC | Share verified updates through family chats for Cruz-Ocampo household,0.512,0.547,0.563,0.683,0.640,0.360,0.261
8,F,54,2,middle,TRUE,Patricia Salazar-Cervantes,clerk_office_worker,Salazar-Cervantes,resB,office,235990.52,1303.80,39.31,Keep office relationships stable | Monitor barangay aid lists in resB | Share verified updates at community meetings for Salazar-Cervantes household,0.450,0.294,0.468,0.719,0.611,0.260,0.316
9,F,16,2,lower,TRUE,Faith Salazar-Rodriguez,student,Salazar-Rodriguez,resC,school,39901.78,0.00,31.93,Finish school requirements | Monitor construction complaints in resC | Share verified updates through coworkers for Salazar-Rodriguez household,0.596,0.293,0.452,0.681,0.350,0.353,0.183
10,M,21,4,middle,TRUE,Benjamin Salcedo,student,Salcedo,resB,school,365705.21,0.00,55.77,Finish school requirements | Monitor safety reports in resB | Share verified updates at the market for Salcedo household,0.522,0.136,0.393,0.096,0.769,0.600,0.224
11,F,27,5,middle,TRUE,Theresa Santiago,civil_servant_admin,Santiago,resB,municipal_hall,266082.59,2315.46,54.84,Keep public records accurate | Monitor health-center queues in resB | Share verified updates through family chats for Montemayor household,0.446,0.181,0.541,0.926,0.832,0.417,0.511
12,F,16,2,middle,TRUE,Maribel Tan,student,Tan,resB,school,102180.20,0.00,34.65,Finish school requirements | Monitor budget gossip in resB | Share verified updates at the market for Tan household,0.406,0.274,0.512,0.433,0.540,0.343,0.180
13,F,18,4,middle,TRUE,Andrea Alonzo,clerk_office_worker,Alonzo,resB,office,246938.08,1543.17,40.47,Keep office relationships stable | Monitor road repairs in resB | Share verified updates through school contacts for Alonzo household,0.651,0.263,0.384,0.507,0.729,0.283,0.242
14,F,19,3,lower,TRUE,Urduja Cruz-Legaspi,student,Cruz-Legaspi,resC,school,95551.33,0.00,31.08,Finish school requirements | Monitor safety reports in resC | Share verified updates at the market for Cruz-Legaspi household,0.378,0.183,0.602,0.657,0.553,0.193,0.065
15,F,16,2,middle,TRUE,Daisy Cruz-Natividad,student,Cruz-Natividad,resB,school,263898.85,0.00,35.91,Finish school requirements | Monitor school attendance in resB | Share verified updates at community meetings for Cruz-Natividad household,0.736,0.142,0.335,0.475,0.351,0.444,0.292
16,M,41,5,middle,TRUE,Mario Cruz-Pena,subcontractor,Cruz-Pena,resB,construction_site,182454.19,1960.17,35.49,Deliver assigned contract work | Monitor medicine availability in resB | Share verified updates at the market for Cruz-Pena household,0.492,0.703,0.651,0.474,0.980,0.344,0.041
17,F,66,3,upper,TRUE,Nina Salazar-Cojuangco,property_owner_retiree,Salazar-Cojuangco,resA,residential_area,922019.10,2939.14,27.50,Protect family assets and routines | Monitor election promises in resA | Share verified updates during commute routes for Salazar-Cojuangco household,0.504,0.172,0.553,0.367,0.685,0.418,0.316
18,F,36,2,middle,TRUE,Vanessa Cruz-Bonifacio,home_caregiver,Cruz-Bonifacio,resB,residential_homes,359238.46,523.39,52.99,Support household care duties | Monitor construction complaints in resB | Share verified updates at the market for Cruz-Bonifacio household,0.466,0.112,0.590,0.761,0.486,0.642,0.265
19,M,18,2,lower,TRUE,Berto Cruz-Austria,student,Cruz-Austria,resC,school,125181.79,0.00,32.38,Finish school requirements | Monitor construction complaints in resC | Share verified updates at the market for Cruz-Austria household,0.729,0.289,0.345,0.296,0.424,0.291,0.225
20,M,17,2,lower,TRUE,Pedro Salazar-Villanueva,student,Salazar-Villanueva,resC,school,91445.09,0.00,53.55,Finish school requirements | Monitor service quality in resC | Share verified updates during barangay visits for Salazar-Villanueva household,0.531,0.301,0.577,0.279,0.499,0.508,0.397
21,F,17,2,middle,TRUE,Lita Salazar-Tan,student,Salazar-Tan,resB,school,293124.95,0.00,38.50,Finish school requirements | Monitor family welfare in resB | Share verified updates with neighbors for Salazar-Tan household,0.664,0.215,0.458,0.474,0.352,0.324,0.246
22,M,27,2,middle,TRUE,Rodel Cruz-Salcedo,market_vendor,Cruz-Salcedo,resB,market,344255.77,576.19,41.93,Protect stall income and customers | Monitor safety reports in resB | Share verified updates through family chats for Cruz-Salcedo household,0.454,0.497,0.619,0.503,0.438,0.521,0.254
23,M,17,2,middle,TRUE,Gabriel Salazar-Villanueva,student,Salazar-Villanueva,resB,school,92689.96,0.00,41.30,Finish school requirements | Monitor barangay aid lists in resB | Share verified updates at community meetings for Salazar-Villanueva household,0.328,0.050,0.516,0.354,0.509,0.268,0.142
24,F,34,3,middle,TRUE,Erika Salazar-Soriano,home_caregiver,Salazar-Soriano,resB,residential_homes,302001.13,961.86,62.67,Support household care duties | Monitor market prices in resB | Share verified updates at the market for Salazar-Soriano household,0.450,0.202,0.304,0.394,0.527,0.571,0.399
25,F,42,2,lower,TRUE,Lita Salazar-Torres,factory_plant_worker,Salazar-Torres,resC,factory,102192.16,842.30,37.05,Maintain shift attendance | Monitor market prices in resC | Share verified updates during barangay visits for Salazar-Torres household,0.641,0.152,0.433,0.389,0.558,0.326,0.133
26,M,20,3,lower,TRUE,Hernando Cruz-Yap,student,Cruz-Yap,resC,school,89944.02,0.00,45.79,Finish school requirements | Monitor safety reports in resC | Share verified updates through school contacts for Cruz-Yap household,0.731,0.384,0.547,0.502,0.547,0.701,0.398
27,F,21,4,middle,TRUE,Giselle DeLeon,student,DeLeon,resB,school,245643.32,0.00,56.98,Finish school requirements | Monitor budget gossip in resB | Share verified updates at the market for DeLeon household,0.770,0.214,0.435,0.602,0.860,0.338,0.546
28,M,24,4,lower,TRUE,Daniel Bernal,police_officer,Bernal,resC,police_station,44031.44,1248.47,46.89,Maintain patrol readiness around resC | Verify safety reports before they spread | Build trust with the Bernal household through Daniel's barangay beat,0.802,0.238,0.615,0.736,0.743,0.387,0.688
